,sentiment,content
30359,neutral,gonna go make meme mother day card go hop shower hop sleep
30360,neutral,mention cut
30361,relief,made breakfast bf went sear pas driver test stay minh lil saunaampspa aunt uncle amp mom final home
30362,worry,fun aha guy american reject look like crack
30363,worry,freak love star trek watch men
30364,love,mention sure long said glad like
30365,happiness,mention dont know hey name shannon extend hand put er
30366,happiness,mention yeah freedom awesome great little indeed
30367,love,mention feel better love bring soul food make feel good
30368,happiness,dw funny
30369,neutral,girl make giggle twin twin goddam hit bbc
30370,love,plea everyone vote become next maxim door caddie girl take minute
30371,love,need chang way instead weak love mention great role model
30372,relief,funny people forget anger arrive people least expect see
30373,happiness,get read concert tonight yay
30374,happiness,mention flop wait see picture dress breath take
30375,surprise,first night myer w lydia actual exit summer
30376,sadness,ugh wish school year would go faster move life
30377,neutral,lao mein spanikopita aha would know
30378,fun,aim ad work one favorite thing much saturday night fun
30379,neutral,mention leon look spa fly mini couch
30380,happiness,bass drum head break equal bust need ticket may th
30381,worry,final made jp lick cooling corner ore soft serv
30382,happiness,rape scream surprise first custom said aha via mention
30383,neutral,little buzz epoxy paint
30384,fun,got back six flag wick fun even tho almost die
30385,happiness,mention aha thank history invent televisa influence america laugh loud
30386,love,write music lit final paper mozart ein klein nashtmusik mom give hand actual great time
30387,love,mm mcdonald coffee soo good may go hookah tonight webster
30388,happiness,mention way still believe awesome newjabbakidz perform mask scream pc
30389,love,noth better granddaughter smile noth feel better big hug grandad hoot
30390,love,mention aha awesome clearly trinity awesome enough access
30391,love,mention laugh loud yeah well apply grocery store
30392,worry,picture cassie crawfish boil make smile real big also desktop still fail ultima fail hate
30393,surprise,saw shoot star made wish
30394,worry,mention kind food cell follow
30395,relief,mention laugh loud fine way weekend
30396,happiness,finish rsc service gonna awesome
30397,neutral,happy mother day mama amaze person ever known proud born daughter
30398,neutral,mention help pay reactive
30399,happiness,anyone exit harri potter like damn twilight postpone first love oh well find hai chai
30400,neutral,mention actual meant motorbike much tour commit possible min roundtrip kinda like tour
30401,worry,hmm whilst walk city receive invite sun limo via prom fellow date oh boy
30402,sadness,watch thing coast miss boo like crazy
30403,sadness,mention broadcast last week pacquiao hatton fight plan night around said much already
30404,neutral,mention thank follow
30405,neutral,still away co school tomorrow
30406,relief,mention total ya block new stream
30407,happiness,mention laugh loud thank think husband would classify annoy like awesome much better
30408,happiness,mention laugh aha nice lola good though wait laugh loud
30409,neutral,haul video come
30410,neutral,mention work fine far know shrug may send tweet mention
30411,empty,get crazy
30412,love,michel hot mama chick grand
30413,enthusiasm,mention hey cometh
30414,happiness,good morn everybody
30415,worry,mention mom april
30416,fun,prom parti tonight
30417,happiness,right mention
30418,happiness,good night im sleep good morn laugh
30419,neutral,play ball park coach youngster fundament goin home steak lobster word
30420,love,alright parti success fun amp
30421,happiness,mention know exit
30422,love,mm late night buster ice cream om
30423,love,happy mother day mom mother world
30424,neutral,mention go firebox
30425,happiness,bye
30426,sadness,mention go hour say compute phone last week dint care
30427,neutral,hang amber
30428,sadness,since di thing reply message puffin shh care know im special x
30429,surprise,mention miss interview iron listen day long fuck car trip watch need look good
30430,neutral,mention aha kew dude dont know amp reason well that noth story mhmhmh
30431,neutral,mention way still believe awesome newjabbakidz perform mask scream pc
30432,happiness,pen jam clear click
30433,empty,pretty tire go move decide im pop
30434,fun,reach cellgroup leader hous surprise dri aha
30435,love,ya love free night catch dvr show ant come ha ha
30436,happiness,yay made home feel great back still light
30437,sadness,best day ever miss tomorrow
30438,neutral,k done min nobile psst weigh lb yippee thank mention excuse workout amp mention flyladi
30439,neutral,mention better person send feel like mouse american tail ri
30440,sadness,wait table exhaust foot sore note self never become waitress also ludo georg awesome tri tip
30441,happiness,food look amaze dessert frozen grand marnier souffle cours eat bar
30442,enthusiasm,mention lone battle friend fought valiantly
30443,happiness,got back greenland nice day today
30444,worry,mention wha would learn
30445,worry,back fr doctor amp office v dri eye least noth serious
30446,love,mention aww thank best husband ever really lucky hope wonder saturday even
30447,empty,mention get chance post video tinkerbell say kinda want hear say
30448,worry,mention aha nice ring smile let get use ok iloveyoutoo
30449,surprise,mention way still believe awesome newjabbakidz perform mask scream pc
30450,neutral,goin sleep busi day trw
30451,love,great mother day
30452,worry,mention cool guid best tip use unless absolute need
30453,neutral,mention cat
30454,neutral,half meet groningen plea
30455,love,jazz take mom breakfast tomorrow shall quit treat
30456,surprise,mention head box go shop morrow
30457,neutral,mention joe put new bulb spotlight
30458,happiness,thank guy follow
30459,happiness,mention get bore routine laugh loud
30460,worry,mention pretty hope win
30461,relief,pizza go sleep
30462,fun,spongebob sing long amanda mom gave crystal joan brother calendar
30463,neutral,mention happy mother day ya tomorrow
30464,neutral,mention read state update amp want b sure follow list hope r wonder wend michaelbless
30465,empty,constantly look clock come pm
30466,fun,care netsexor cam rout heaven howe sound super good almost tempt go get
30467,happiness,mention one wish video compile mention thrust
30468,neutral,nice long nap
30469,happiness,mention aha thank
30470,neutral,apart start feel like mine
30471,neutral,get home hang herman
30472,happiness,walk home listen music sing six foot star
30473,surprise,oop mom accident sign twitter account comment picture
30474,happiness,mention must insist write essay twitter way character
30475,worry,live chat soon like
30476,enthusiasm,north im boom laugh loud fuck club dog rather count million bunch call starbuck bitch
30477,fun,write research tire foolish duc amp move forward gonna marry white boy right
30478,fun,go canada made nikkei pay comic well soo yeah funny perk teen people family
30479,neutral,watch laura nephew dance
30480,worry,mention hey pleasant surprise
30481,relief,final made phoenix home
30482,sadness,jump nearest bring
30483,happiness,mention saw baby blue regal word slab written huge letter side aa
30484,happiness,mention old go see priceless soon funny
30485,worry,whoop start trek start due
30486,love,happy sunday
30487,enthusiasm,lab mit open courseware got chance get work done next week
30488,worry,oh god much fun watch hous bunny court isa led send link love
30489,neutral,mention ur friend mention sent
30490,hate,mention full grabbyhand bad candy thank love
30491,love,mention mention oh fan put together amp love
30492,fun,dinner big si water umm
30493,fun,wait foreign start
30494,neutral,mention love mom best mom planet
30495,sadness,mention tri ignore notice new love sonic drink cherry linear mm
30496,love,mention sometime wish twitter casebook like could give thumb great job either way suck way
30497,neutral,weird mood mahaz
30498,neutral,level
30499,love,much fun family happy day beauty aunt
30500,worry,mention crappy
30501,empty,good morn
30502,neutral,mention yassir
30503,neutral,half dinner second time week
30504,neutral,mention c mon talk philo sophie love wisdom need mat context intersubject ground
30505,fun,mention great point shit wood sara know better aha
30506,love,mention love passmore welcome back
30507,worry,mention tax nice cut new car hand nice hors tl
30508,fun,would love sleep pete mao uk
30509,relief,make sure mom know love
30510,happiness,hey guy went jenni hous today much fun everyone el guy doo
30511,neutral,mention seen already link lj post
30512,neutral,box fund amid bailey
30513,surprise,mention said
30514,happiness,mention hope great day tomorrow happy mother day let u know
30515,neutral,get use shoulder immobile thing even get use sleep recline
30516,surprise,mention new song amaze
30517,love,feel special lookinghim first guy give flower
30518,neutral,peer nap couch
30519,happiness,hold smoke star trek freak awesome
30520,happiness,mention yeah think
30521,neutral,dinnerbuffalo burger provolon cheese melt top beefsteak tomato spinach divine pic casebook come
30522,love,mention hey lauren huge fan hope fun wang tango
30523,neutral,watch keep kardashian couture
30524,empty,play volleyball
30525,sadness,mention hey aha yep new comment get really mad always defend aha
30526,neutral,mention ask sf schedule dark may next time
30527,happiness,mother day shop wow big thank sister come sorry get drunk though
30528,surprise,got back parti suprisingly awesome need dance often overall awesome night
30529,fun,mention heart
30530,neutral,mention said ur nail look like shit laugh loud im kid dont know say aha
30531,happiness,mention walk street harlem home sweet home
30532,neutral,thank mom
30533,neutral,got update pod
30534,happiness,mention aha awesome
30535,love,got done watch bedtime story love move
30536,enthusiasm,mention yep tower noth casebook group
30537,fun,news weird entertain
30538,sadness,arrest hotel
30539,hate,mention kew stand rock
30540,happiness,feel like watch twilight amp enjoy
30541,neutral,mention make coffee
30542,happiness,proud na graduate friend get read celebi tonight intern ordeal
30543,neutral,mention
30544,neutral,mention guy look nice
30545,surprise,mention f laugh got hit head blood ball
30546,fun,mgm grand mra stage double back open lot old memory flood back
30547,love,mention congrats win india award
30548,happiness,good day mention mention mention mention
30549,worry,mention alright sorry think go anyway
30550,relief,final home
30551,neutral,mention realise got home left mine fridge welcome like
30552,neutral,warm soy milk amaze cocoa powder gave
30553,happiness,mention alright want overdue laugh loud funny nite nite
30554,love,go bed love joan brother last time megan together weekend premier joan lauren love
30555,happiness,mention best kind gum ever bought pack
30556,relief,got home show open fantasy thank everyone came
30557,fun,help kidd church tomorrow yay little guy
30558,sadness,long pain mile today knee ach approach year rough accept well glass draft help
30559,love,mention guy awesome couple
30560,fun,enjoy first day summer
30561,neutral,mention politician celeb lotta fun fun actual sin
30562,fun,mention drink
30563,fun,mention ye last way past bedtime
30564,happiness,mention nice see twitter
30565,happiness,mention good catch thank bunch put new widget
30566,happiness,ton fun yay prom lot fun horayyayayay
30567,happiness,wish happy mother day wonder mother
30568,love,sad thing saddam love sex crook body want sex
30569,love,mention happy mother day
30570,happiness,mention awesome wanna roll become mogul state
30571,happiness,new phrase never doubt mo william six game win streak
30572,love,mention ooh storm always welcome news happy mother day
30573,neutral,wake somewhat go caucus
30574,worry,mention school work really still sac titty late
30575,neutral,mention ye new one adore though love vincent
30576,hate,blame got good p better good conduit love night
30577,happiness,mother city terre tea district city council seat laugh loud happy mother day
30578,worry,mention pic ah probably see work point hope grow much
30579,surprise,pg get close yawn
30580,love,happy mother day mum
30581,fun,mention im schaumburg rite want ice cream laugh loud type chilli outside laugh loud got ice cream
30582,happiness,mrskutcher amp plus two funny
30583,neutral,good weekend
30584,neutral,mention are w
30585,enthusiasm,mention bannen fall new ep come shortly want dude hear
30586,love,mention happy mother day
30587,love,happy mother day mum
30588,love,love mummy every always fore mummy dearest love nanny xx
30589,fun,mention like cook go love cook lar teen cook come see u
30590,happiness,got back grandpa suprise th anniversary parti voodoo much fun
30591,surprise,dont care kind graphic engine video game nowadays noth compare oregon trail carmen santiago
30592,happiness,pm saturday know mean bedtime
30593,happiness,good day go get bed
30594,fun,update blow show watch unusual go check
30595,love,fort green brooklyn flea love look forward next weekend already
30596,happiness,aha watch funny as video couture made day
30597,hate,ever weight north avoid drive home
30598,surprise,mention root ali twitter war
30599,surprise,mention shock amp put thing whole new empty light
30600,relief,mention well propel people chang direct point wast day cometh lost passion
30601,worry,mention well tonight would good time watch
30602,worry,mention thank mom seed larger already crack plant hope vagina dud
30603,happiness,learn guitar quickly come nature
30604,worry,baltimore beat yankee mention
30605,love,snappy delia tea ice cream love sister
30606,happiness,go church morn happy comma day almost
30607,surprise,great parti agenda happy birthday chick love
30608,worry,mention sweet tri earn crown gluten free bake
30609,love,tom graduate today
30610,worry,join even sure friend titter may celeb stalker
30611,happiness,bonfire fave
30612,neutral,matt
30613,neutral,mention oh hey wasp chic ur right record thank still love hair
30614,relief,mention thought one tag outside shirt
30615,neutral,make wish
30616,neutral,mention patrick come say hi
30617,neutral,funny hit sale coach bath amp bod work make day much better shopahol guilty
30618,neutral,aha right
30619,happiness,know sunshine wonder today alright day text twitter
30620,happiness,mention always champion league parti ti awesome
30621,happiness,make wish
30622,sadness,need ban together record always go are ok
30623,neutral,brisbane ford falcon ef new ad receive post cc site soon
30624,fun,got back visit rel time watch move
30625,love,mention way happy mom day hannah mom han mom ye moss unit day
30626,happiness,grill chicken broccoli water yummy health well put butter eggs what
30627,neutral,per mention dew claw thumb nub
30628,worry,parti begin prob wont sweet tonight even tho im guess hour night everyone
30629,sadness,got little much sun today
30630,neutral,mention laugh loud ye total are blow well
30631,love,mention honestly say that big part log enthusiasm love all want
30632,neutral,work layout page prom dress almost done
30633,love,steel magnolia get every time sniff laugh loud v b make day night brighter
30634,love,happy great glory rave beer night smokey pizza night cool friend love liz x
30635,love,mention good move
30636,love,watch chelsea late love love
30637,neutral,tonight good night everyone
30638,fun,mention gonna buy one two three ultima slaughter machin
30639,happiness,mention well could get real clear shot got best could silly people walk admit er
30640,love,congrats mention proud girl
30641,enthusiasm,mention matter love take pick ha
30642,happiness,mention ooh like plan spend night well
30643,happiness,watch family guy
30644,neutral,make wish
30645,love,mention tom petty heartbreak stern love benjamin
30646,sadness,go go tonight look like head main street
30647,sadness,mention happy birthday sorry blank one sister mess
30648,love,mention look star trek run family
30649,fun,mention fake k
30650,neutral,mention thank
30651,happiness,l ice grand half sweet french vanilla soy milk starbuck mean summat come
30652,neutral,log new passion
30653,worry,mention make smoke thank r
30654,happiness,mention blows ahahaha gave money went get mom
30655,fun,mention garlic pill spider bite toe lol classic always hungry kill funny
30656,happiness,thank mention mention update tonight vote
30657,love,mention girl crazy love sahara got yo lp chap
30658,fun,ellen wegener fly fan say tri get fly ellen show
30659,happiness,mention awesome may someday find book bessel list laugh loud
30660,relief,final
30661,love,end love night
30662,neutral,mention feel like nerd say new star trek look kinda cool might see aha let know got
30663,love,mention roflmfao love u better
30664,happiness,amaze night friend lose voice
30665,happiness,mention peanut butter soup amaze every el soup higher form amaze
30666,sadness,talk mention cute grandma phone speak hindi best language somehow manage
30667,happiness,mention cute mali cute cours remind scion
30668,worry,mention thank fabric addict late bought soon much
30669,surprise,mention really awesome
30670,surprise,listen metal shop money good
30671,neutral,
30672,happiness,happy mother day
30673,enthusiasm,mention nice order mom gift sister cometh differ expect
30674,love,mention yah know appreci ton
30675,fun,mention suck eat burrito way fun hey check
30676,fun,got jam oh yea
30677,love,mention thank first one wish happy mother day
30678,surprise,mention could true like ur momma style
30679,love,mention heart girl let hang soon
30680,love,watch fav move two play game ever notice men start act around spring time shane smith
30681,fun,perfect night nj
30682,worry,move watch star trek
30683,neutral,god good
30684,love,feel pressure right happy mother day people
30685,surprise,roll floor laugh
30686,fun,mention probably coolest thing ever done
30687,surprise,mention anth bookmark keychain surprise
30688,happiness,mention laugh dimple naw that cute ok ill tri remem first winter dimple day
30689,love,crazy love foot cover song awesome better origin well least think
30690,neutral,mention wish corn ny ottawa corn ny year later matter time
30691,surprise,there boy he cute he got six pack yum fun touch
30692,happiness,smoke favorite thing speak name daughter dakota dakota marijuana latino
30693,fun,mention fun invite group
30694,neutral,morn back lesson
30695,love,today love day fun mention mention even
30696,neutral,mention see
30697,fun,mention aha yah walk distance hous mission niki drive aha every summer go like every weekend
30698,sadness,mention wish like option like fb thing like
30699,neutral,mention deficit
30700,fun,free free free pesci register enjoy
30701,enthusiasm,im eat salad member comment new space picture plc
30702,happiness,listen fall rain malaya
30703,enthusiasm,found best song stuck head reliant k song know every word finish
30704,enthusiasm,mention film musician friend mine mention legion people sure know dance
30705,love,love life late look forward go see samantha hang natal right
30706,happiness,strawberry margarita bake stuff shrimp
30707,happiness,makeup cute dress read go
30708,neutral,get sub subway ur way home
30709,neutral,mention one call
30710,love,saw star trek yesterday wolverton today love jackman ab as spock ear
30711,surprise,mention congrats graduate college
30712,happiness,beauty albeit wind time night
30713,neutral,mention hey david enjoy wang tango
30714,fun,love black eye pea mani memory watch hulk
30715,worry,happy mother day one day early moss everywhere desert day
30716,happiness,mention shut line remove locker scene bet could remit speech easily dare
30717,happiness,figure twitter phone
30718,relief,final got snow account run yay job got canadian snow number anyone el use landmine phone call
30719,love,mention love guy amaze
30720,worry,mention iloveyoumore
30721,happiness,mention program show twitter casebook state update one alright yeah probably use often
30722,love,mention good luck baby
30723,surprise,mediterranean kitchen oh well get right
30724,worry,mention hell yeah block away sweet lil ole
30725,worry,mention thank
30726,happiness,slice pizza move star trek share hot fudge sunday sunday hous saturday night date night
30727,fun,mention look follow
30728,love,love gossip girl episode wrath con
30729,happiness,gift publish episode align align kensit level min class
30730,relief,mention way download phone sdk
30731,happiness,put tv caucus game score yay come vanity baby know believe watch hockey either
30732,love,super buenos proud guy
30733,surprise,mention tell obvious real life make great entertain tv great tri figure killer
30734,surprise,mention tell u expert love
30735,love,mention fun dude love wizard waverly place
30736,happiness,joan absolute hearthware time bed goodnight mention
30737,neutral,leave radiobox show santo saint
30738,worry,disembark tswassen saw pod killer whale finish point never seen bc killer whale
30739,love,bye move jake
30740,happiness,mention end te funniest see wink mention know paranoid always stuck head love
30741,neutral,mention aha mom super power guilt
30742,love,mention really bahama love relate people aha
30743,worry,got reconnect dear friend tonight lucky mani great people life bless
30744,surprise,gonna celebi mother day family gonna start parti tone
30745,happiness,fun night bekaa talkin stuff uv
30746,love,medic today mother day video without moss dad would sweet
30747,fun,gonna go drop log pool back min
30748,love,aww since mother day
30749,happiness,lucky belong
30750,fun,mention ok couple thing made u late stuff got lot fun
30751,happiness,got home day pamper shop white outfit total complete
30752,happiness,mention that nice cousin left hous daughter daddy girl sweet
30753,relief,aw breeze good thing sold blanket
30754,love,happy mother day beach family warm clear night beauty full moon
30755,fun,make video hitrecord hope come well first record
30756,happiness,alon home nice nice
30757,neutral,mention laugh loud bay laugh just wait
30758,surprise,aha korn funny ugh drink beer go get fat
30759,neutral,mention hey welcome twitter
30760,happiness,mention sure wife seem like cool cat
30761,worry,dinner soon cold right
30762,neutral,face
30763,surprise,mention sent finger cross link courtney
30764,relief,mention cause move one man team show pen highlight whole superstar
30765,worry,mention laugh loud perez say plea make actual go look
30766,love,mention thank happy mother day mom well
30767,relief,summer final graduate week
30768,happiness,hang rook adore gentleman live great people good talk discus boy issue
30769,empty,mention yeah suck every suck amp still look beauty like
30770,happiness,noah love new twitter app mani new thing got finish watch jonas video good
30771,neutral,mention hey david hot
30772,surprise,great time surprise parti got good
30773,happiness,fun got retreat bot
30774,neutral,mention want send naughty snap taken teh shoot
30775,happiness,mention laugh loud tim good song
30776,happiness,star trek good time
30777,happiness,crawl bed super happy penguin tonight
30778,fun,mention justin timberlake soon funny
30779,relief,phase success self discover vital phase min away cool amp class baby shout yeah mane
30780,surprise,mention oh went crowd epic dude
30781,happiness,mention love new webster
30782,happiness,mention dude awesome
30783,happiness,mention go pen go gino win pen
30784,neutral,sit listen music follow
30785,neutral,mention mention interest good way
30786,love,mom day dinner awesome beat taco loco good time
30787,happiness,mention exit pari ooh lala look forward know long long time love hug n kiss g
30788,neutral,love b mother day tomorrow
30789,worry,today fun love family sammy hernandez caitlin hugh goodnight
30790,happiness,love john mayer update model hot sun sweat uk serious
30791,relief,got shower man feel good
30792,neutral,boyfriend bought ticket american idol
30793,fun,threaten patron anth eat thought connect move night
30794,love,mention nice good night
30795,love,mom rock
30796,neutral,moment get read work
30797,happiness,doin damn thing crib bout watch star trek yup
30798,surprise,mention sin
30799,surprise,mention actual guy thought know turn know previous parti
30800,happiness,mention oh yeah see really get go laugh loud care like heheheheh great
30801,love,mention perfect song
30802,neutral,mention nah look better label top latin name access way need turn anth
30803,love,mention probably
30804,empty,mention heed know talk
30805,worry,mention p heart face
30806,fun,play ghost online really interest new update karin pet metamorphic third job wait dragon pet
30807,sadness,ju plant garden backyard
30808,fun,new pickkshaa really big look milk away
30809,relief,mention pasta pizzahut
30810,love,mention birthday th may right probably th happy birthday anyway
30811,neutral,today longest day ever go sleep beach bound tomorrow good night twitter
30812,fun,mention ohshnapss piss blair usual sarah amp yeah bake cook
30813,love,mention pretty baby
30814,neutral,mention say hi buy shot laugh loud uk
30815,neutral,mention one
30816,empty,oh yah angel came harass tri break hous laugh loud burden
30817,love,mention amp sure mom good food wait home enjoy good ole bed amp room
30818,love,mention hola mari happy mother day enjoy family beach
30819,love,cant wait see boy tomorrow
30820,happiness,watch beauty amp beast aha
30821,happiness,thank good friend come hang ear know
30822,relief,get metal make work morn
30823,happiness,mention awesome kind
30824,love,sign mom day tomorrow
30825,happiness,nice win dodger giant
30826,fun,snl gonna great tonight
30827,happiness,parrott play twister get tips well everyone el laugh loud
30828,happiness,hoodoo went get move junk food woman night mwahaha gt
30829,worry,mention um really scarf plea safe way ill orlando next week
30830,empty,relish serendip
30831,surprise,mention follow back
30832,happiness,got good happy mother day
30833,happiness,mention ha total go journal major perfect fit
30834,worry,mention wait amp kate always end best interview
30835,neutral,mention think kirk would probably stolen sweet ride fancy car phone ya talk good game
30836,hate,mention though admit seem le amp le tempt time complete package
30837,love,tomorrow mother day hope everybody got mom cometh awesome least call say hello
30838,neutral,white hous thing lifespan
30839,worry,mention nope yet one close close day week
30840,neutral,yard hous
30841,relief,today event
30842,hate,sometime hate normal worry bout
30843,happiness,mention take fun
30844,neutral,mention well pineal wizard
30845,happiness,watch one fine day eat cereal start good sunday good move
30846,fun,follow new fan see wonder sanctuary sunday good meet
30847,neutral,mention thank great even better soon get wallet grubby little hand laugh loud
30848,happiness,go cincinnati day sunday visit old friend brother korea date someone special
30849,fun,gonna read story bout adam lambert online bed night night
30850,worry,watch steel magnolia go bed babysit one tomorrow give momma gift night love peace love joan
30851,neutral,mention
30852,worry,husband think twitter make creeper what
30853,surprise,good got pink today
30854,love,plea awesome hawaii anima display item
30855,love,ok night sweet people look ya tomorrow
30856,happiness,mention awesome family own flower love kid seem lot fun
30857,happiness,mention laugh loud good men watch flick w u sigh good flick far call said
30858,relief,mention ye thank
30859,happiness,mention soo honour cld ch beat perhaps sm advice wat nd improv da overall sound music
30860,neutral,mention watch th harri potter move
30861,relief,eat ore milk
30862,love,mention hi im follow want say love friend
30863,worry,mention good think join later hyper hell though whee
30864,happiness,mention aww sweet made home made card wrote song much oh well
30865,happiness,dance wait turn hope get new cd fungi reel music today
30866,sadness,lot denis make need assist cook nanny chauffeur laugh loud laugh loud real
30867,happiness,mention wasps cocoliche knew record ur daughter
30868,neutral,mention thank follow
30869,surprise,mention see lot sold sign
30870,worry,mention that rough hubby knee surgery help end let u know result keep prayer
30871,hate,mention care hockey
30872,neutral,im tire great time today together thank
30873,worry,mention way early anyway night night love
30874,neutral,mention man gotta whip gotta whip
30875,love,mention mood listen older stuff time around old old enough
30876,neutral,got degree b
30877,enthusiasm,wait next twitter
30878,neutral,mention final someone spread hayley love via twitter welcome club taylor
30879,happiness,mention look like fun
30880,neutral,mention thank download trial version stuff work good advice
30881,neutral,mention yeah hope may save get christmas find
30882,love,mention aw sure thing thought prayer
30883,surprise,want wish moss happy mother day hope treat like queen
30884,love,mention yet understand sentence ever type kinda fun like learn foreign languageampi love quote
30885,neutral,good b move starship trooper cool citizen
30886,neutral,back sj star trek tonight pm influx laden
30887,love,quick thought tire happy satisfy entertain exit oh bit love
30888,worry,greg back top love lascar
30889,surprise,say happy mother day mother everywhere
30890,fun,guy got someone saran wrap tuesday video shall awesome
30891,worry,mention ok wasp
30892,love,like dr sus quote know love fall asleep reality final better dream
30893,happiness,two new favorite prayer help help help thank thank thank
30894,neutral,frenchman day
30895,happiness,mention rock kind little rockwood amp octopus amp shell amp stuff want beach perfect overcast day
30896,happiness,thank carry crazy
30897,happiness,add let play cometh
30898,love,hubby adore baby brother
30899,worry,mention know r wont til pm service
30900,surprise,mention day must look hard good thing
30901,surprise,well time hit hey stack night call tomorrow mother day
30902,hate,mention bad rum expert college still recor
30903,sadness,mention oh hope bad tell mya hope get better soon
30904,love,mention aww cute
30905,neutral,mention nice clutch
30906,love,arrive home great time friend today
30907,neutral,mention must ask cub fan fathom
30908,love,tonight good night love
30909,neutral,go outdo peace
30910,happiness,mention yay break
30911,happiness,mention happy mother day m pat carey
30912,hate,dont worry let go name fisher
30913,happiness,mention like simpson like ask like breath
30914,neutral,found pack unit red carpet club booz voucher anyone want quit drink come appear
30915,happiness,pinkberri
30916,love,ok go go read new devon book later love
30917,happiness,toogood yummy whose wash dish roll floor laugh
30918,neutral,mention oh ok well good get weather update instead uk
30919,worry,got fight kick bar least knock fat lip though pull noth number
30920,neutral,watch move sam
30921,neutral,mention hey chri met ai line back march neither u got aha sure remem
30922,fun,mention saw game huge car fan laugh loud pay ref yao rest playoff l cruise cf
30923,neutral,mention shall annoyingly tweet tomorrow
30924,neutral,mention gut feel say gonna boy ababa
30925,worry,mention putt know like stay busi awesome sober dang
30926,neutral,edit photo took brother soccer game got lot work coach
30927,happiness,mention guess that laugh loud
30928,love,mention enjoy ur night
30929,neutral,mention baby little rhythm still since inter
30930,neutral,chicago rock sock
30931,worry,hang bryantampamphaile possible lafayette tonight nd know keep update follow
30932,neutral,bos said thank work day peace
30933,relief,four hour baseball game least crew spent much make rabbi look bad
30934,happiness,mention eat happy
30935,love,mention hahahaha nice gave bio co ink hell hello chem
30936,fun,bowl cousin awesome
30937,love,power see love storm
30938,love,gave mother mother day present love
30939,fun,let play russian roulette
30940,fun,mention aha thank
30941,happiness,noth day w special friend
30942,hate,mention cough star trek cough
30943,neutral,mention ok tell differ
30944,love,mention aw super cute
30945,love,mention love weekend
30946,relief,mention aww poor drew hope feel better rush
30947,neutral,mention strip club pick
30948,neutral,mention aw yay
30949,relief,mention feel better c teeth week amp rough
30950,neutral,phone mum
30951,enthusiasm,mention pride next weekend long beach
30952,worry,feel
30953,worry,mention goodnight
30954,neutral,play bingo mom old lady
30955,happiness,watch move holiday forgotten feel good move love even
30956,relief,ok time bed good night twitter
30957,worry,mention fact need get half cours tomorrow morn reunion
30958,happiness,starbuck farrah
30959,worry,bore almost mother day
30960,happiness,go ride perfect night go chill
30961,happiness,nice dinner mom start chicken roll go cook overnight rest tomorrow
30962,happiness,plea check lm think first passive post site
30963,happiness,need see mention someone buy plane ticket plea
30964,neutral,mention noth pure need see photo
30965,happiness,watch star trek tonight head love dinner fun board game night mention
30966,love,mention good luck doubt hilary really hope see dress kind foam food item go
30967,fun,wh correspond dinner rock wanda sake hilary ibama bad happy mother day mom
30968,happiness,watch one fav move spark go get food later
30969,neutral,fax crayon
30970,neutral,way past bed time gonna catch sum snl
30971,neutral,rus joe
30972,neutral,mention chri baby born today
30973,worry,mention bad sit watch pen replay get exit think coffee know
30974,neutral,mention see guess must lot hawk fan tea twitter
30975,neutral,mention nice quote always
30976,love,mention late seen bubble tweet video aww
30977,worry,mention lot stuff
30978,fun,week fun hope next week even better nec day
30979,love,watch tv best people whole world mum si age smile love twitter later ha
30980,happiness,listen dashboard confession amp count day mention concert may th mention
30981,love,came back karaoke amp eat dinner emily voodoo much fun
30982,happiness,mention ye laugh loud good one remem bottom always top
30983,happiness,mention good day lot stretch sleep sun
30984,worry,spent hour dino blow space love dino love oh move really funny
30985,fun,bostock fantasy first time play sleep bostock tomorrow
30986,neutral,mention bad tri get live dream rule world save super hero costume
30987,fun,mention total dig napa valley idea deal wine limo ride
30988,neutral,mention may ask rais
30989,relief,go sleep today long day happy mother day moss
30990,love,happy mother day im gonna help mine right desert guy
30991,worry,hit ole dust trail w miss morgan
30992,neutral,one taken earlier week
30993,worry,sadly disappoint show joan good show disney hannah montana amp wizard waverly place
30994,neutral,mention ha thought would enjoy family guy refer bore
30995,fun,mention hike wood four little kid could exhaust right wrong laugh loud tri downright masochist
30996,fun,guy would interest watch get tattoo tomorrow let know
30997,enthusiasm,write post new pod touch
30998,enthusiasm,mention find spot team wink wink
30999,relief,mention poor live german favourite cheap saturday one min away
31000,fun,parti great time got paranoid mention kington yay
31001,empty,missi higgins kate vogel grace potter nocturne
31002,neutral,mention mention follow
31003,neutral,mention hey girl doin ya hear big interview
31004,happiness,margarita memo miss
31005,neutral,mention also watch move friend twilight
31006,happiness,mention heh heh odd amis thank
31007,sadness,mention amen clearly know would all say wonder get though suck
31008,worry,mention make tour philippine
31009,happiness,mention happy mother day paula
31010,relief,mention thank
31011,fun,time go swim free water sale yeah
31012,happiness,mention thank link made smile
31013,happiness,mention mention case yeah start work tomorrow exit
31014,enthusiasm,said whale amp mother mother ok
31015,love,mention aha wish could meet stop seattle time home starburst wink love david
31016,fun,happy that final summer cant wait turn wed
31017,surprise,glad final done final
31018,neutral,get go laugh loud least dint get hope
31019,enthusiasm,mention see star trek sleep much action wind
31020,fun,mention hah sparkle one
31021,neutral,back soap soon fun
31022,happiness,mention hannah cri blow fuse topic move
31023,worry,yay gonna leave earlier wait get back hawthorn
31024,happiness,mention like put fruit article webster permit
